method,standard_spo_loss_mean,standard_spo_loss_std,path_accuracy_mean,path_accuracy_std,edge_overlap_mean,edge_overlap_std,runtime_mean,runtime_std,regret_rank
ddo-md,0.5704465270042419,0.027023834547066285,0.07421875,0.015440808887540914,0.35242188572883604,0.02165309830572456,0.029093578599986358,0.0014684034783994293,1
mse,0.6254752278327942,0.03223907889707858,0.0734375,0.008799906504741257,0.3266406118869781,0.012157805974471228,0.024265527399847997,0.0010768091032355323,2
spo+,0.6393370628356934,0.02888338884565493,0.05859375,0.013460985109463107,0.3181250154972076,0.011882317542835393,0.03063919359992724,0.001843947549887105,3
spo,1.0592761993408204,0.04988150424134054,0.008984375,0.0032682032286487327,0.19078125953674316,0.01592629004914009,0.029045200400059912,0.0009026268636046045,4
