method,lr,tau,mean_val_standard_spo_loss,seed0_val_standard_spo_loss,seed1_val_standard_spo_loss
mse,0.001,0.0,0.9662819802761078,0.9804196357727051,0.9521443247795105
mse,0.003,0.0,0.9568433165550232,0.979320228099823,0.9343664050102234
mse,0.01,0.0,0.894366979598999,0.9504572153091431,0.838276743888855
mse,0.03,0.0,0.6699075698852539,0.7369372844696045,0.6028778553009033
mse,0.1,0.0,0.6712529957294464,0.649618923664093,0.6928870677947998
spo,0.001,0.0,0.9976745843887329,1.0009684562683105,0.9943807125091553
spo,0.003,0.0,1.0513474941253662,1.0749659538269043,1.0277290344238281
spo,0.01,0.0,1.1195297241210938,1.0945277214050293,1.1445317268371582
spo,0.03,0.0,1.1885195970535278,1.1667277812957764,1.2103114128112793
spo,0.1,0.0,1.26237553358078,1.2130417823791504,1.3117092847824097
spo+,0.001,0.0,0.9041256308555603,0.9048758745193481,0.9033753871917725
spo+,0.003,0.0,0.8270058333873749,0.8599441647529602,0.7940675020217896
spo+,0.01,0.0,0.6903361976146698,0.7184236645698547,0.6622487306594849
spo+,0.03,0.0,0.6443294286727905,0.6858364343643188,0.6028224229812622
spo+,0.1,0.0,0.6587118804454803,0.6815701723098755,0.6358535885810852
ddo-md,0.001,0.02,0.9134134650230408,0.931630551815033,0.8951963782310486
ddo-md,0.001,0.05,0.9134134650230408,0.931630551815033,0.8951963782310486
ddo-md,0.001,0.1,0.9135094881057739,0.9313161969184875,0.8957027792930603
ddo-md,0.001,0.2,0.9058000147342682,0.9175141453742981,0.8940858840942383
ddo-md,0.001,0.5,0.8866541981697083,0.8793177604675293,0.8939906358718872
ddo-md,0.001,1.0,0.8791713118553162,0.8714926242828369,0.8868499994277954
ddo-md,0.003,0.02,0.8360887169837952,0.845811665058136,0.8263657689094543
ddo-md,0.003,0.05,0.824413537979126,0.825023353099823,0.823803722858429
ddo-md,0.003,0.1,0.8289889395236969,0.842601478099823,0.8153764009475708
ddo-md,0.003,0.2,0.8209169507026672,0.8210256695747375,0.8208082318305969
ddo-md,0.003,0.5,0.8018695116043091,0.8136663436889648,0.7900726795196533
ddo-md,0.003,1.0,0.7663736343383789,0.7712289094924927,0.7615183591842651
ddo-md,0.01,0.02,0.6860727965831757,0.7433533668518066,0.6287922263145447
ddo-md,0.01,0.05,0.6914581656455994,0.7422932982444763,0.6406230330467224
ddo-md,0.01,0.1,0.6944781541824341,0.7379862666130066,0.6509700417518616
ddo-md,0.01,0.2,0.6770772337913513,0.7060276865959167,0.6481267809867859
ddo-md,0.01,0.5,0.6643394231796265,0.6875109672546387,0.6411678791046143
ddo-md,0.01,1.0,0.6542880237102509,0.6687169075012207,0.639859139919281
ddo-md,0.03,0.02,0.6165551841259003,0.6563668251037598,0.5767435431480408
ddo-md,0.03,0.05,0.6210687458515167,0.6598332524299622,0.5823042392730713
ddo-md,0.03,0.1,0.6152873933315277,0.6396113634109497,0.5909634232521057
ddo-md,0.03,0.2,0.6069408655166626,0.6301553249359131,0.5837264060974121
ddo-md,0.03,0.5,0.5959360003471375,0.6319297552108765,0.5599422454833984
ddo-md,0.03,1.0,0.5935766696929932,0.6130844354629517,0.5740689039230347
ddo-md,0.1,0.02,0.5672352612018585,0.5810530781745911,0.553417444229126
ddo-md,0.1,0.05,0.5597364008426666,0.5545996427536011,0.5648731589317322
ddo-md,0.1,0.1,0.5649454593658447,0.5783528089523315,0.5515381097793579
ddo-md,0.1,0.2,0.561061829328537,0.5680059790611267,0.5541176795959473
ddo-md,0.1,0.5,0.5625694096088409,0.5800661444664001,0.5450726747512817
ddo-md,0.1,1.0,0.5712302029132843,0.5779196619987488,0.5645407438278198
